,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
3054,29.92675781,77.16503906,76.37792969,8.066224118,12.18554104,11.07409091,65.06397152,148.4874105,122.6354895,-0.930491375,-1.357445355,-1.321260655,1.246523554,2.782314946,3.248779099,1
3055,27.33886719,69.21777344,78.57324219,9.262102149,13.09223725,12.89146803,85.78653622,171.4066763,166.1899481,-0.627089255,-0.907149384,-1.152278183,0.044072489,1.071407175,2.320487575,1
3056,28.9140625,74.29882813,80.24316406,6.867356369,9.508248814,10.06553002,47.1605835,90.4067955,101.3148947,-1.222908185,-1.981358351,-1.651455525,2.664316596,7.772500583,6.438625502,1
3057,31.57226563,74.109375,77.83203125,8.020886574,12.27984844,12.82427467,64.33462143,150.7946777,164.4620209,-0.865135646,-1.921295054,-1.687998838,1.863830929,6.978278042,5.890340463,1
3058,30.51855469,71.95605469,83.09277344,6.388286359,7.917730206,7.699950951,40.8102026,62.69045162,59.28924465,-1.385632942,-1.573792955,-1.720376862,2.711476531,4.026319495,5.096470669,1
3059,30.484375,75.64160156,78.53027344,6.244509307,9.35609906,9.851289847,38.99389648,87.53658962,97.04791164,-1.161327184,-1.871623347,-1.475763218,2.917144955,8.733315112,6.619749382,1
3060,22.75976563,67.63769531,76.92285156,9.37338019,17.41554916,16.70881437,87.8602562,303.3013525,279.1844778,-0.638736872,-1.052462941,-1.455863965,-0.028016728,1.440844945,2.864376731,1
3061,27.65625,70.94824219,78.11621094,9.146539219,19.03620771,17.90680003,83.65917969,362.3772039,320.6534872,-1.169067227,-1.709062713,-2.135737934,1.531101641,3.443467654,5.843761737,1
3062,33.26757813,79.32519531,79.71191406,8.435687513,11.80417655,11.45004498,71.16082382,139.3385839,131.1035299,-0.410061596,-0.768441741,-0.799271992,0.322882523,1.173020989,1.055840979,1
3063,28.48925781,79.2578125,76.22363281,7.608709663,10.50195004,10.96584666,57.89246273,110.2909546,120.2497931,-0.817364474,-0.974758126,-1.00759089,0.412049685,0.949210532,0.879349036,1
