,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
4133,31.24707031,64.06933594,53.26269531,9.663705213,14.12237521,13.62687541,93.38719845,199.4414816,185.6917334,1
4134,25.80859375,45.41210938,25.96875,16.36767741,20.04253509,15.05001428,267.9008636,401.7032127,226.5029297,1
4135,24.10742188,34.98339844,23.00390625,17.58673216,19.56002175,15.12990572,309.293148,382.594451,228.9140472,1
4136,25.74023438,32.39160156,23.01269531,20.93015035,22.64320676,17.85408619,438.0711937,512.7148123,318.7683935,1
4137,26.640625,41.25,20.4296875,18.56722767,20.99451193,14.37251804,344.7419434,440.7695313,206.5692749,1
4138,29.38183594,36.06542969,24.44433594,22.71820628,23.18654429,17.73796982,516.1168966,537.6158361,314.6355734,1
4139,25.83789063,37.33984375,22.59375,18.77360727,20.45955744,15.50267744,352.4483299,418.5934906,240.3330078,1
4140,30.34472656,39.94433594,25.28613281,20.07362697,21.63632803,16.02985383,402.9504995,468.1306906,256.956214,1
4141,21.70410156,29.51269531,19.98730469,18.98363149,21.39691482,15.58629064,360.3782644,457.8279638,242.932456,1
4142,26.40039063,37.30566406,20.63085938,23.54267733,27.5821806,17.58490744,554.2576561,760.7766867,309.2289696,1
4143,27.64648438,33.53222656,22.63183594,22.59035736,24.556753,17.26483177,510.3242455,603.0341177,298.0744162,1
4144,33.98535156,45.39453125,23.87109375,20.05740736,19.98633834,14.61908883,402.2995901,399.4537201,213.7177582,1
4145,26.74707031,31.61035156,21.81054688,20.27177387,21.51960249,16.18512429,410.9448156,463.0932913,261.9582481,1
4146,31.55078125,48.66015625,23.52832031,21.72806364,26.784071,15.32860055,472.1087494,717.3864594,234.9659948,1
4147,24.76367188,33.3359375,20.56542969,20.4947785,24.01562881,15.61023103,420.0359459,576.7504272,243.6793127,1
4148,27.0078125,40.34277344,21.18554688,18.70238583,21.92175108,14.93961629,349.7792358,480.5631704,223.1921349,1
4149,22.89453125,35.28222656,20.41210938,22.22506963,27.0528172,17.43184524,493.9537201,731.8549185,303.8692284,1
4150,25.3515625,33.89160156,21.26367188,19.88589122,22.08654337,15.76892491,395.4486694,487.8153982,248.6589928,1
4151,28.40332031,66.94238281,21.26269531,19.34439187,27.17635549,14.44109584,374.2054968,738.5542974,208.545249,1
